longevity,activity
40,none
37,none
44,none
47,none
47,none
47,none
68,none
47,none
54,none
61,none
71,none
75,none
89,none
58,none
59,none
62,none
79,none
96,none
58,none
62,none
70,none
72,none
75,none
96,none
75,none
21,low
40,low
44,low
54,low
36,low
40,low
56,low
60,low
48,low
53,low
60,low
60,low
65,low
68,low
60,low
81,low
81,low
48,low
48,low
56,low
68,low
75,low
81,low
48,low
68,low
16,high
19,high
19,high
32,high
33,high
33,high
30,high
42,high
42,high
33,high
26,high
30,high
40,high
54,high
34,high
34,high
47,high
47,high
42,high
47,high
54,high
54,high
56,high
60,high
44,high